farad
falling bodies
faraday
Faraday constant
Fermat's principle
Fermi surface
fermion
ferrimagnetism
ferromagnetism
field line
FIRST
first law of thermodynamics
fission
flavour
fluid
fluid mechanics
fluid physics
fluid statics
fluorescence
flux
flux density
focal length
focus
force (F)
force carrier
frame of reference
Fraunhofer lines
free body diagram
frequency
frequency modulation
free fall
freezing point
friction
function
fundamental forces
fundamental frequency
fundamental theorem of calculus
fusion
