agroecosystem
aquatic ecosystem
coral reefs
desert
forest
human ecosystem
littoral zone
marine ecosystem
prairie
rainforest
savanna
steppe
taiga
tundra
urban ecosystem
tropical rainforests
temperate forest
grassland
stillwater
river and stream
freshwater
old-growth forests
shrublands
greater yellowstone ecosystem
acid grassland
lake
tropical salt pond
depauperate ecosystem
