#killallzombies
#Wargames
'n Verlore Verstand
10 Second Ninja X
101 Ways to Die
11-11: Memories Retold
140
1001 Spikes
20XX	
2064: Read Only Memories
2Dark
2urvive
39 Days to Mars
60 Seconds!
6180 the moon
7 Days to Die	
7th Sector
8Days
8-bit Adventure Anthology: Volume I
8-Bit Armies
8-Bit Hordes
8-Bit Invaders
88 Heroes
8 to Glory
9 Monkeys of Shaolin
911 Operator
99Vidas
Aaero
Aaru's Awakening
Abo Khashem
Absolute Drift: Zen Edition
Absolver
Abyss: The Wraiths of Eden
Abzû	
Access Denied
Ace Combat 7: Skies Unknown
Aces of the Luftwaffe: Squadron
Achtung! Cthulhu Tactics
Acorn Assault: Rodent Revolution
Action Henk
Action News Heroes
Active Soccer 2 DX
Active Soccer 2019
Adam's Venture: Origins
Adios Amigos
The Adventures of 00 Dilly
Adventures of Bertram Fiddle Ep 1: A Dreadly Business
The Adventures of Elena Temple
Adventures of Pip
The Adventure Pals	
Adventure Time: Finn & Jake Investigations
Adventure Time: Pirates of the Enchiridion
AER: Memories of Old
AereA	
Aery: Little Bird Adventure
AeternoBlade
AeternoBlade II
AFL Evolution
AFL Evolution 2
Aftercharge
Afterparty
Agatha Christie: The ABC Murders
Agatha Knife
Age of Wonders: Planetfall	
Agent A: A Puzzle in Disguise
Agents of Mayhem	
Agents vs Villain
Ages of Mages: The Last Keeper	
Aggelos	Retro
Ailment
AIPD
Air Guitar Warrior	
Air Missions: Hind
Airheart: Tales of Broken Wings
Akuatica: Turtle Racing
Alaloth: Champions of The Four Kingdoms	
Albedo: Eyes from Outer Space
Albert and Otto	
Alekhine's Gun	
Alex Kidd in Miracle World DX
Alien: Isolation
Alien Cruise
All-Star Fruit Racing
Alluris
Almost There: The Platformer
Alteric	Platformer
Alvastia Chronicles
Alwa's Awakening	
Amazing Princess Sarah
The Amazing Spider-Man 2
American Fugitive	
American Ninja Warrior: Challenge
Amnesia: The Dark Descent
Amoeba Battle: Microscopic RTS Action	
Among the Sleep	Survival
Anamorphine
Anarcute	
Ancestors: The Humankind Odyssey
Ancestors Legacy
AngerForce Reloaded
Angry Birds Star Wars	
Anima: Gate of Memories
