octavus,eighth
octo,eight
octodecim,eighteen
octogeni,eighty each
octogesimus,octogesimal
octoni,eight each
oculus,eye
odium,hatred
oleum,oil
omnis,all
onus,burden
opacus,shady
opus,work
orbis,ring
ordo,order
os,mouth
os,bone
oscen,songbird
otium,leisure
ovis,sheep
ovum,egg
