Dalton's law
damped vibration
damping
Darcy–Weisbach equation
dark energy
dark matter
DC motor
decibel
definite integral
deflection
deformation
density
derivative
destructive interference
diamagnetism
dielectric
diffraction
direct current (DC)
dispersion
displacement
distance
drift velocity
Doppler effect
drag
ductility
dynamics
dyne
