Symbol,Company Name,Security Name
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund
AAL,American Airlines Group, Inc.,American Airlines Group, Inc. - Common Stock
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock
AAOI,Applied Optoelectronics, Inc.,Applied Optoelectronics, Inc. - Common Stock
AAON,AAON, Inc.,AAON, Inc. - Common Stock
AAPL,Apple Inc.,Apple Inc. - Common Stock
AAVL,Avalanche Biotechnologies, Inc.,Avalanche Biotechnologies, Inc. - Common Stock
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
ABAC,Aoxin Tianli Group, Inc.,Aoxin Tianli Group, Inc. - Common Shares
ABAX,ABAXIS, Inc.,ABAXIS, Inc. - Common Stock
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock
ABCD,Cambium Learning Group, Inc.,Cambium Learning Group, Inc. - Common Stock
ABCO,The Advisory Board Company,The Advisory Board Company - Common Stock
ABCW,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock
ABGB,Abengoa, S.A.,Abengoa, S.A. - American Depositary Shares
ABIO,ARCA biopharma, Inc.,ARCA biopharma, Inc. - Common Stock
ABMD,ABIOMED, Inc.,ABIOMED, Inc. - Common Stock
ABTL,Autobytel Inc.,Autobytel Inc. - Common Stock
ABY,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock
ACAS,American Capital, Ltd.,American Capital, Ltd. - Common Stock
ACAT,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock
ACET,Aceto Corporation,Aceto Corporation - Common Stock
ACFC,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock
ACFN,Acorn Energy, Inc.,Acorn Energy, Inc. - Common Stock
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock
ACHC,Acadia Healthcare Company, Inc.,Acadia Healthcare Company, Inc. - Common Stock
