paraffin
parallel circuit
parity
particle
particle accelerator
particle displacement
particle physics
Pascal's law
Pauli exclusion principle
pendulum
periodic table of the elements
phase (matter)
phase (waves)
phase equilibrium
phenomenology
phosphorescence
photoelectric effect
photon
photonics
physical chemistry
physical constant
physical quantity
physics
