1,""MANAGERS, DIRECTORS AND SENIOR OFFICIALS",3486
3219,"Health associate professionals n.e.c.4",65
323,"Welfare and Housing Associate Professionals",330
3231,"Youth and community workers",75
3233,"Child and early years officers",40
3234,"Housing officers",60
3235,"Counsellors",14
3239,"Welfare and housing associate professionals n.e.c.4",142
331,"Protective Service Occupations",353
3311,"NCOs and other ranks",50
3312,"Police officers (sergeant and below)",143
3313,"Fire service officers (watch manager and below)",40
3314,"Prison service officers (below principal officer)",41
3315,"Police community support officers",19
3319,"Protective service associate professionals n.e.c.4",60
341,"Artistic, Literary and Media Occupations",416
3411,"Artists",67
3412,"Authors, writers and translators",62
3413,"Actors, entertainers and presenters",37
3414,"Dancers and choreographers",21
3415,"Musicians",50
3416,"Arts officers, producers and directors",95
3417,"Photographers, audio-visual and broadcasting equipment operators",84
342,"Design Occupations",193
3421,"Graphic designers",110
3422,"Product, clothing and related designers",82
344,"Sports and Fitness Occupations",189
3441,"Sports players",17
3442,"Sports coaches, instructors and officials",109
3443,"Fitness instructors",62
351,"Transport Associate Professionals",47
3511,"Air traffic controllers",0
3512,"Aircraft pilots and flight engineers",25
3513,"Ship and hovercraft officers",18
352,"Legal Associate Professionals",81
3520,"Legal associate professionals",81
353,"Business, Finance and Related Associate Professionals",764
3531,"Estimators, valuers and assessors",61
3532,"Brokers",53
3533,"Insurance underwriters",34
3534,"Finance and investment analysts and advisers",203
3535,"Taxation experts",34
3536,"Importers and exporters",8
3537,"Financial and accounting technicians",16
3538,"Financial accounts managers",177
3539,"Business and related associate professionals n.e.c.4",178
354,"Sales, Marketing and Related Associate Professionals",977
3541,"Buyers and procurement officers",55
3542,"Business sales executives",119
3543,"Marketing associate professionals",211
3544,"Estate agents and auctioneers",51
3545,"Sales accounts and business development managers",459
3546,"Conference and exhibition managers and organisers",82
355,"Conservation and Environmental associate professionals",7
3550,"Conservation and environmental associate professionals",7
356,"Public Services and Other Associate Professionals",505
3561,"Public services associate professionals",104
3562,"Human resources and industrial relations officers",133
3563,"Vocational and industrial trainers and instructors",153
3564,"Careers advisers and vocational guidance specialists",21
3565,"Inspectors of standards and regulations",38
3567,"Health and safety officers",56
4,"ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS",3360
411,"Administrative Occupations: Government and Related Organisations",363
4112,"National government administrative occupations",164
4113,"Local government administrative occupations",153
4114,"Officers of non-governmental organisations",46
412,"Administrative Occupations: Finance",783
4121,"Credit controllers",36
4122,"Book-keepers, payroll managers and wages clerks",434
4123,"Bank and post office clerks",106
4124,"Finance officers",43
4129,"Financial administrative occupations n.e.c.4",165
413,"Administrative Occupations: Records",418
4131,"Records clerks and assistants",112
4132,"Pensions and insurance clerks and assistants",75
4133,"Stock control clerks and assistants",104
4134,"Transport and distribution clerks and assistants",68
4135,"Library clerks and assistants",28
4138,"Human resources administrative occupations",32
415,"Other Administrative Occupations",890
4151,"Sales administrators",76
4159,"Other administrative occupations n.e.c.4",813
416,"Administrative Occupations: Office Managers and Supervisors",215
4161,"Office managers",178
4162,"Office supervisors",37
421,"Secretarial and Related Occupations",691
4211,"Medical secretaries",63
4212,"Legal secretaries",38
4213,"School secretaries",73
4214,"Company secretaries",38
4215,"Personal assistants and other secretaries",185
4216,"Receptionists",255
4217,"Typists and related keyboard occupations",39
5,"SKILLED TRADES OCCUPATIONS",3269
511,"Agricultural and Related Trades",357
5111,"Farmers",126
5112,"Horticultural trades",20
5113,"Gardeners and landscape gardeners",149
5114,"Groundsmen and greenkeepers",30
5119,"Agricultural and fishing trades n.e.c.4",31
521,"Metal Forming, Welding and Related Trades",93
5211,"Smiths and forge workers",6
5212,"Moulders, core makers and die casters",0
5213,"Sheet metal workers",8
5214,"Metal plate workers, and riveters",7
5215,"Welding trades",59
5216,"Pipe fitters",13
