air guage knives
ballistic knives
belt buckle knives
cane swords
concealed dirks or daggers
lipstick case knives
shobi-zue or wrist-drawn knives
shuriken / throwing stars
writing pen knives
leaded canes
billy clubs
blackjacks
sandbags
sandclubs
saps
slungshots
metal or brass knuckles
nunchakus or nunchucks
camouflaging firearm containers
cane guns
firearms not recognizable as a firearm
multi-burst trigger activators
short-barreled rifles
unconventional pistols
undetectable firearms
wallet guns
zip guns
flechette darts
explosive bullets
concealed explosive substances
metal military practice hand grenade
