shouted
bellowed
yelled
snapped
cautioined
rebuked
consoled
comforted
reassured
admired
soothed
babbled
gushed
exclaimed
whispered
stuttered
stammered
gasped
urged
hissed
blurted
declared
insisted
maintained
commanded
sighed
laughed
cried
lamented
jabbed
sneered
scolded
threatened
insinuated
spat
glowered
apologised
relented
agreed
reassured
placated
assented
related
recounted
continued
emphasized
remembered
recalled
resumed
concluded
teased
joked
chuckled
chortled
sniggered
tittered
guffawed
giggled
roared
