M phase
macroevolution
macromolecule
macronutrient
macrophage
mammalogy
marine biology
mast cell
mating
medulla
meiosis
membrane potential
messenger RNA
metabolism
metamorphosis
metaphase
microbiology
microevolution
mitochondria
mitosis
molecule
molecular biology
molecular switch
monomer
morphology
motile
motor neuron
mucous membrane
multicellular
mycology
myofibril
myosin
