galbus,yellow
galea,helmet
falena,lead ore
gallina,hen
geminus,twin
gemma,bud
gena,cheek
genu,knee
genus,birth
germen,sprout
gibbus,hump
glaber,smooth
glacies,ice
gladius,sword
glans,acorn
gleba,clod
gluten,glue
gracilis,slender
gradus,step
granum,grain
gravis,heavy
grex,flock
grossus,thick
gustus,taste
gutta,drop
guttur,throat
