lettuce
boston lettuce
butter lettuce
field green lettuce
iceberg lettuce
matcha lettuce
romaine lettuce
watercress
collard greens
kale
mustard
spinach
swiss chard
turnip
asparagus
avocado
bok choy
celery
eggplant
herbs
kohlrabi
mushrooms
radishes
rapini
tomatos
zucchini
artichokes
broccoli
broccolini
brussels sprouts
cabbage
cauliflower
cucumbers
fennel
green beans
jicama
okra
snap peas
snow peas
turnips
blackberries
raspberries
beef
chicken
game
lamb
pork
veal
bacon
hotdogs
organ meags
sausage
fatty fish
white fish
crab
lobster
bussels
octopus
oysters
scallops
shrimp
squid
sliced chicken
corned beef
ham
pancetta
pastrami
prosciutto
roast beef
speck
turkey
sliced chorizo
pepperoni
salami
soppressata
chicken salad
egg salad
tuna salad
sliced cheese
bologna
mortadella
butter
ghee
heavy cream
blue cheese
buffalo mozzarella
brie
camembert
colby
goat
gouda
cheddar
havarti
mozzarella
parmesan
pepper jack
muenster
provolone
swiss cheese
eggs
full fat creme fraiche
feta
cream cheese
cottage cheese
greek yogurt
mascarpone
ricotta
sour cream
whole milk
avocado oil
cocoa butter
cocnut oil
nut oils
olive oil
duck fat
lard
shmaltz
tallow
canned fish
anchovies
crab
salmon
sardines
tuna
olives
sauerkraut
club soda
coffee
tea
almonds
brazil nuts
macadamia nuts
pecans
walnuts
pili nuts
beef jerky
