implies
exposes
suggests
highlights
symbolises
conveys
indicates
infers
displays
describes
introduces
emphasises
portrays
establishes
presents
proves
exhibits
reinforces
explains
reveals
exposes
suggests
highlights
symbolises
hints
illuminates
unveils
illustrates





