Lagrangian mechanics
laminar flow
Laplace transform
Laplace–Runge–Lenz vector
laser
law of universal gravitation
LC circuit
Lenz's law
lepton
lever
light
linear actuator
linear algebra
line of force
linear elasticity
Liouville's theorem
liquid
liquid crystal (LC)
longitudinal wave
