1. 1937,Snow White and the Seven Dwarfs (G)
641,2011,Mars Needs Moms (PG)
642,2011,African Cats: Kingdom of Courage (Disneynature)(G)
643,2011,Zokkomon (NR)
644,2011,Prom (PG)
645,2011,Pirates of the Caribbean: On Stranger Tides (PG-13)
646,2011,Cars 2 (G)
647,2011,Winnie the Pooh (G)
648,2011,The Help (Touchstone/DreamWorks)(PG-13)
649,2011,Fright Night (Touchstone/DreamWorks)(R)
650,2011,Real Steel (Touchstone/DreamWorks)(PG-13)
651,2011,The Muppets (PG)
652,2011,War Horse (Touchstone/DreamWorks)(PG-13)
653,2012,The Secret World of Arrietty (G)
654,2012,John Carter (PG-13)
655,2012,Arjun: The Warrior Prince (NR)
656,2012,Chimpanzee (Disneynature)(G)
657,2012,Marvel’s The Avengers (Marvel)(PG-13)
658,2012,Brave (PG)
659,2012,Mad Buddies (NR)
660,2012,People Like Us (Touchstone/DreamWorks)(PG-13)
661,2012,The Odd Life of Timothy Green (PG)
662,2012,Secret of the Wings (G)
663,2012,Barfi! (NR)
664,2012,Frankenweenie (PG)
665,2012,Wreck-It Ralph
666,2012,Lincoln (Touchstone/DreamWorks)
667,2013,Oz the Great and Powerful (PG)
668,2013,Wings of Life (Disneynature)(G)
669,2013,Iron Man 3 (Marvel) (PG-13)
670,2013,Monsters University (G)
671,2013,The Lone Ranger (PG-13)
672,2013,Planes (PG)
673,2013,The Fifth Estate (Touchstone/DreamWorks)(R)
674,2013,The Wind Rises (Touchstone)(PG-13)
675,2013,Thor: The Dark World (Marvel)(PG-13)
676,2013,Delivery Man (Touchstone/DreamWorks)(PG-13)
677,2013,Frozen (PG)
678,2013,Saving Mr. Banks (PG-13)
679,2014,The Pirate Fairy (G)
680,2014,Need for Speed (Touchstone/DreamWorks)(PG-13)
681,2014,Muppets Most Wanted (PG)
682,2014,Captain America: The Winter Soldier (Marvel)(PG-13)
683,2014,Bears (Disneynature)(G)
684,2014,Million Dollar Arm (PG)
685,2014,Maleficent (PG)
686,2014,Planes: Fire and Rescue (PG)
687,2014,Guardians of the Galaxy (Marvel)(PG-13)
688,2014,The Hundred-Foot Journey (Touchstone/DreamWorks)(PG)
689,2014,Khoobsurat (NR)
690,2014,Alexander and the Terrible, Horrible, No Good, Very Bad Day (PG)
691,2014,Big Hero 6 (PG)
692,2014,Into The Woods (PG)
693,2015,Strange Magic (Touchstone/Lucasfilm)(PG)
694,2015,Tinker Bell and the Legend of the NeverBeast (G)
695,2015,McFarland, USA (PG)
696,2015,Cinderella (PG)
697,2015,Monkey Kingdom (Disneynature)(G)
698,2015,Avengers: Age of Ultron (Marvel)(PG-13)
699,2015,Tomorrowland (PG)
700,2015,Inside Out (PG)
701,2015,ABCD2 (NR)
702,2015,Ant-Man (Marvel)(PG-13)
703,2015,Bridge of Spies (Touchstone/DreamWorks) (PG-13)
704,2015,The Good Dinosaur (PG)
705,2015,Star Wars: The Force Awakens (Lucasfilm) (PG-13)
706,2016,The Finest Hours (PG-13)
707,2016,Zootopia (PG)
708,2016,The Jungle Book (PG)
709,2016,Captain America: Civil War (Marvel) (PG-13)
710,2016,Alice Through the Looking Glass (PG)
711,2016,Finding Dory (PG)
712,2016,The BFG (PG)
713,2016,Pete’s Dragon (PG)
714,2016,The Light Between Oceans (PG-13)
715,2016,Queen of Katwe (PG)
716,2016,Doctor Strange (Marvel) (PG-13)
717,2016,Moana (PG)
718,2016,Rogue One: A Star Wars Story (Lucasilm)(PG-13)
719,2017,Dangal (Disney India)
720,2017,Beauty and the Beast (PG)
721,2017,Born in China (Disneynature) (G)
722,2017,Guardians of the Galaxy, Vol. 2 (Marvel) (PG-13)
723,2017,Pirates of the Caribbean: Dead Men Tell No Tales (PG-13)
724,2017,Cars 3 (Pixar) (G)
725,2017,Jagga Jasoos (Disney India)
726,2017,Thor: Ragnarok (Marvel) (PG-13)
727,2017,Coco (Pixar) (PG)
728,2017,Star Wars: The Last Jedi (Lucasfilm) (PG-13)
729,2018,Black Panther (Marvel) (PG-13)
730,2018,A Wrinkle in Time (PG)
731,2018,Avengers: Infinity War (Marvel) (PG-13)
732,2018,Solo: A Star Wars Story (Lucasfilm) (PG-13)
733,2018,Incredibles 2 (Pixar) (PG)
734,2018,Ant-Man and The Wasp (Marvel) (PG_13)
735,2018,Christopher Robin (PG)
736,2018,The Nutcracker and the Four Realms (PG)
737,2018,Ralph Breaks the Internet (PG)
738,2018,Mary Poppins Returns (PG)
739,2019,Captain Marvel (Marvel) (PG-13)
740,2019,Dumbo (PG)
741,2019,Penguins (Disneynature) (G)
742,2019,Avengers: Endgame (Marvel) (PG-13)
743,2019,Aladdin (PG)
744,2019,Toy Story 4 (Pixar) (G)
745,2019,The Lion King (PG)
746,2019,Maleficent: Mistress of Evil (PG)
747,2019,Frozen 2 (PG)
748,2019,Star Wars: The Rise of Skywalker (PG-13)
749,2020,The Call of the Wild
750,2020,Onward (Pixar) (PG)
751,2020,Artemis Fowl (PG)
