1. 1937,Snow White and the Seven Dwarfs (G)
177,1987,Stakeout (Touchstone) (R)
178,1987,Can’t Buy Me Love (Touchstone) (PG-13)
179,1987,Hello Again (Touchstone) (PG)
180,1987,Three Men and a Baby (Touchstone) (PG)
181,1987,Good Morning, Vietnam (Touchstone) (R)
182,1988,Shoot to Kill (Touchstone) (R)
183,1988,D.O.A. (Touchstone) (R)
184,1988,Return to Snowy River (PG)
185,1988,Big Business (Touchstone) (PG)
186,1988,Who Framed Roger Rabbit (Touchstone) (PG)
187,1988,Cocktail (Touchstone) (R)
188,1988,The Rescue (Touchstone) (PG)
189,1988,Heartbreak Hotel (Touchstone) (PG-13)
190,1988,The Good Mother (Touchstone) (R)
191,1988,Ernest Saves Christmas (Touchstone) (PG)
192,1988,Oliver & Company (G)
193,1988,Beaches (Touchstone) (PG-13)
194,1989,Three Fugitives (Touchstone) (PG-13)
195,1989,New York Stories (Touchstone) (PG)
196,1989,Disorganized Crime (Touchstone) (R)
197,1989,Dead Poets Society (Touchstone) (PG)
198,1989,Honey, I Shrunk the Kids (PG)
199,1989,Turner & Hooch (Touchstone) (PG)
200,1989,Cheetah (G)
201,1989,An Innocent Man (Touchstone) (R)
202,1989,Gross Anatomy (Touchstone) (PG-13)
203,1989,The Little Mermaid (G)
204,1989,Blaze (Touchstone) (R)
205,1990,Stella (Touchstone) (PG-13)
206,1990,Where the Heart Is (Touchstone) (R)
207,1990,Pretty Woman (Touchstone) (R)
208,1990,Ernest Goes to Jail (Touchstone) (PG)
209,1990,Spaced Invaders (Touchstone) (PG)
210,1990,Fire Birds (Touchstone) (PG-13)
211,1990,Dick Tracy (Touchstone) (PG)
212,1990,Betsy’s Wedding (Touchstone) (R)
213,1990,Arachnophobia (Hollywood Pictures) (PG-13)
214,1990,Ducktales: the Movie, Treasure of the Lost Lamp (Disney Movietoons) (G)
215,1990,Taking Care of Business (Hollywood Pictures) (R)
216,1990,Mr. Destiny (Touchstone) (PG-13)
217,1990,The Rescuers Down Under (G)
218,1990,Three Men and a Little Lady (Touchstone) (PG)
219,1990,Green Card (Touchstone) (PG-13)
220,1991,White Fang (PG)
221,1991,Run (Hollywood Pictures) (R)
222,1991,Scenes from a Mall (Touchstone) (R)
223,1991,Shipwrecked (PG)
224,1991,The Marrying Man (Hollywood Pictures) (R)
225,1991,Oscar (Touchstone) (PG)
226,1991,One Good Cop (Hollywood Pictures) (R)
227,1991,What About Bob? (Touchstone) (PG)
228,1991,Wild Hearts Can’t Be Broken (G)
229,1991,The Rocketeer (PG)
230,1991,The Doctor (Touchstone) (PG-13)
231,1991,V. I. Warshawski (Hollywood Pictures) (R)
232,1991,True Identity (Touchstone) (R)
233,1991,Paradise (Touchstone) (PG-13)
234,1991,Deceived (Touchstone) (PG-13)
235,1991,Ernest Scared Stupid (Touchstone) (PG)
236,1991,Billy Bathgate (Touchstone) (R)
237,1991,Beauty and the Beast (G)
238,1991,Father of the Bride (Touchstone) (PG)
239,1992,The Hand That Rocks the Cradle (Hollywood Pictures) (R)
240,1992,Medicine Man (Hollywood Pictures) (PG-13)
241,1992,Blame It On The Bellboy (Hollywood Pictures) (PG-13)
242,1992,Noises Off (Touchstone) (PG-13)
243,1992,Straight Talk (Hollywood Pictures) (PG)
244,1992,Newsies (PG)
245,1992,Passed Away (Hollywood Pictures) (PG-13)
246,1992,Encino Man (Hollywood Pictures) (PG)
247,1992,Sister Act (Touchstone) (PG)
248,1992,Honey, I Blew Up the Kid (PG)
249,1992,A Stranger Among Us (Hollywood Pictures) (PG-13)
250,1992,3 Ninjas (Touchstone) (PG)
251,1992,The Gun in Betty Lou’s Handbag (Touchstone) (PG-13)
252,1992,Crossing the Bridge (Touchstone) (R)
253,1992,Sarafina! (Hollywood Pictures) (PG-13)
254,1992,Captain Ron (Touchstone) (PG-13)
255,1992,The Mighty Ducks (PG)
256,1992,Consenting Adults (Hollywood Pictures)(R)
257,1992,Aladdin (G)
258,1992,The Distinguished Gentleman (Hollywood Pictures)(R)
259,1992,The Muppet Christmas Carol (G)
260,1993,Alive (Touchstone) (R)
261,1993,Aspen Extreme (Hollywood Pictures) (PG-13)
262,1993,The Cemetery Club (Touchstone) (PG-13)
263,1993,Homeward Bound: The Incredible Journey (G)
264,1993,Swing Kids (Hollywood Pictures) (PG-13
265,1993,A Far Off Place (PG)
266,1993,Born Yesterday (Hollywood Pictures) (PG)
267,1993,Adventures of Huck Finn (PG)
268,1993,Indian Summer (Touchstone) (PG-13)
269,1993,Bound by Honor (Hollywood Pictures) (R)
270,1993,Super Mario Bros. (Hollywood Pictures) (PG)
271,1993,Guilty as Sin (Hollywood Pictures) (R)
272,1993,Life with Mikey (Touchstone) (PG)
273,1993,What’s Love Got to Do with It (Touchstone) (R)
274,1993,Son-In-Law (Hollywood Pictures) (PG-13)
275,1993,Hocus Pocus (PG)
276,1993,Another Stakeout (Touchstone) (PG-13)
277,1993,My Boyfriend’s Back (Touchstone) (PG-13)
278,1993,Father Hood (Hollywood Pictures) (PG-13)
279,1993,The Joy Luck Club (Hollywood Pictures) (R)
280,1993,Money for Nothing (Hollywood Pictures) (R)
281,1993,The Program (Touchstone) (R)
282,1993,Cool Runnings (PG)
283,1993,The Nightmare Before Christmas (Touchstone) (PG)
284,1993,The Three Musketeers (PG)
285,1993,Sister Act 2: Back in the Habit (Touchstone) (PG)
286,1993,Tombstone (Hollywood Pictures) (R)
287,1994,Cabin Boy (Touchstone) (PG-13)
288,1994,The Air Up There (Hollywood Pictures) (PG)
289,1994,Iron Will (PG)
290,1994,My Father the Hero (Touchstone) (PG)
291,1994,Blank Check (PG)
292,1994,Angie (Hollywood Pictures) (R)
293,1994,The Ref (Touchstone) (R)
294,1994,D2: The Mighty Ducks (PG)
295,1994,Holy Matrimony (Hollywood Pictures) (PG-13)
296,1994,White Fang 2: Myth of the White Wolf (PG)
297,1994,The Inkwell (Touchstone) (R)
298,1994,When a Man Loves a Woman (Touchstone) (R)
299,1994,Renaissance Man (Touchstone) (PG-13)
300,1994,The Lion King (G)
301,1994,I Love Trouble (Touchstone) (PG)
