ab initio
Abbe number
absolute electrode potential
absolute humidity
absolute motion
absolute pressure
absolute scale
absolute zero
absorption spectroscopy
absorptivity
accelerating expansion of the universe
acceleration
acceleration due to gravity
accelerometer
acoustics
adhesion
adiabatic cooling
adiabatic heating
adiabatic process
aerodynamics
afocal system
air mass
air mass coefficient
albedo
alloy
alpha decay
alternating current (AC)
ammeter
amorphous solid
ampere (A)
amplifier
amplitude
angle of incidence
angle of reflection
ångström (Å)
angular acceleration
angular displacement
angular frequency (ω)
angular momentum
angular velocity (ω)
anion
annihilation
anode
anti-gravity
antimatter
antineutron
antiparticle
antiproton
antiquark
arc length
Archimedes' principle
area moment of inertia
astrophysics
attenuation coefficient
atom
atomic line filter
atomic mass
atomic mass unit
atomic number (Z)
atomic orbital
atomic packing factor
atomic physics
atomic structure
atomic weight (A)
audio frequency
average speed
Avogadro constant
Avogadro number
Avogadro's law
axion
azimuthal quantum number
