tabula,board
tardus,slow
templum,temple
tempus,time
tenuis,thin
terminus,boundary
temi,three each
terra,dry land
tertius,third
testis,witness
titulus,title
totus,all
tres,three
tricae,tricks
trigesimus,thirtieth
trini,three each
tubus,tube
tussis,cough
