battuo,beat
bibo,drink
baca,berry
baculum,staff
barba,beard
bassus,low
bellum,war
beatus,blessed
bellus,pretty
bene,well
bestia,animal
bini,two each
bonus,good
bos,cow
botulus,sausage
bracchium,arm
brevis,brief
bucca,cheek
bulbus,bulbous
bulla,bubble
bursa,pouch

