napus,turnip
naris,nostril
nsus,nose
navis,ship
neuter,neither
nidus,nest
niger,black
nihil,nothing
nodus,knot
nomen,name
nonageni,ninety each
nonagesimus,ninetieth
nonus,ninth
norma,carpenter's square
noster,nour
novem,nine
novemdecim,nineteen
noveni,nine each
novus,new
nox,night
nubes,cloud
nudus,naked
nugae,trifles
numen,nod
numerus,number
nux,nut
