acute triangle
annulus
apeirogon
arbelos
archimdedean spiral
astroid
balbis
bankoff circle
cardioid
cartesian oval
cassini oval
circle
circular sector
circular segment
circumcircle
concave hexagon
concave octagon
concave pentagon
cone
constructible polygon
convex hexagon
convex octagon
convex pentagon
crescent
cube
cube (regular hexahedron)
cuboid
cyclic polygon
cyclic quadrilateral
cylinder
decagon
decagram
deltoid
digon
disc
dodecagon
dodecahedron
ellipse
ellipsoid
enneadecagon
equiangular polygon
equilateral triangle
golden triangle
heart
hendecagon
heptadecagon
heptagon
heptagonal triangle
heptagram
hexadecagon
hexagon
hexagonal prism
hexagonal pyramid
hexagram
hippopede
icosagon
icosahedron
incircle and excircles of a triangle
irregular decagon
irregular heptagon
irregular hexagon
irregular nonagon
irregular octagon
irregular pentagon
irregular quadrilateral
irregular triangle
isosceles trapezoid
isoscles triangle
kepler triangle
kite
lemniscates
lemoine hexagon
lens, visica piscis
lozenge
lune
magatama
mandorla
monogon
nine-point circle
nonagon
obtuse triangle
octadecagon
octagon
octagram
octahedron
oval
parallelogram
pentadecagon
pentagon
pentagram
quatrefoil
rectangle
reuleaux polygon
rhomboid
rhombus
right triangle
salinon
scalene triangle
semicircle
sphere
square
square-based pyramid
stadium
superellipse
taijitu
tangential polygon
tangential quadrilateral
tetradecagon
tetrahedron
tomahawk
tomoe
trapezium
trapezoid
trefoil
triangle
triangular-based pyramid
triangular prism
tridecagon
triquetra
twin circles
