accolade
acrimony
angst
anomaly
antidote
avant-garde
baroque
bona fide
boondoggle
bourgeois
bravado
brogue
brusque
byzantine
cacophony
camaraderie
capricious
carte blanche
caustic
charisma
cloying
deja vu
dichotomy
dilettante
disheveled
elan
ennui
epitome
equanimity
equivocate
esoteric
euphemism
fait accompli
fastidious
faux pas
fiasco
finagle
freudian slip
glib
gregarious
harbinger
hedonist
heresy
idiosyncratic
idyllic
indelicate
infinitesimal
insidious
junket
kitsch
litany
lurid
machiavellian
malaise
malinger
mantra
maudlin
mercenary
minimalist
misnomer
narcissist
nirvana
non sequitur
nouveau-riche
oblivion
ogle
ostentatious
ostracize
panacea
paradox
peevish
perfunctory
philistine
precocious
propriety
quid pro quo
quintessential
red herring
revel
rhetoric
scintillating
spartan
stigma
stoic
suave
svengali
sycophant
teetotaler
tete-a-tete
tirade
tryst
ubiquitous
unrequited
untenable
vicarious
vile
waft
white elephant
zealous
