damnum,harm
decem,ten
decimus,tenth
deni,ten each
dens,tooth
densus,thick
deter,worse
deus,god
dexter,right
dies,day
digitus,finger
dignus,worthy
dirus,fearful
discipulus,student
divus,god
dominus,lord
domus,house
donum,gift
dorsum,back
dos,dowry
drappus,cloth
dulcis,sweet
duo,two
duodecim,twelve
duodecimus,twelfth
duodeni,twelve each
duplus,twofold
durus,hard


