dog
cat
rabbit
ferret 
pig
gerbil
hamster
chinchilla
rat 
mouse
guinea pig
parrot
passerine
fowl
turtle 
alligator 
crocodile 
lizard
snake
fish
snail
frog  
salamander
tarantula
hermit crab
